Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1675,0,6.80E-06,0.000128053,0.000152976,9.12E-05,0.000106017,,0.276546467,1.082409711,0.00000337,1.71E-62,2.57E-64
1676,0,6.78E-06,0.000127721,0.000152587,9.10E-05,0.000105737,,0.27622652,1.081363772,0.00000336,1.56E-62,2.57E-64
1677,0,6.76E-06,0.00012739,0.0001522,9.07E-05,0.000105459,,0.275907133,1.080319466,0.00000334,1.43E-62,2.57E-64
1678,0,0.000006738,0.00012706,0.000151814,9.05E-05,0.000105181,,0.275588306,1.07927679,0.00000333,1.30E-62,2.57E-64
1679,0,0.000006716,0.00012673,0.000151429,0.000090256,0.000104904,,0.275270036,1.078235741,0.00000331,1.19E-62,2.57E-64
1680,0,0.000006694,0.000126402,0.000151045,9.00E-05,0.000104628,,0.274952324,1.077196315,0.0000033,1.09E-62,2.57E-64
1681,0,6.67E-06,0.000126075,0.000150662,8.98E-05,0.000104353,,0.274635166,1.076158509,0.00000329,9.94E-63,2.57E-64
1682,0,6.65E-06,0.000125749,0.000150281,8.95E-05,0.000104079,,0.274318563,1.075122319,0.00000327,9.09E-63,2.57E-64
1683,0,6.63E-06,0.000125424,0.000149901,8.93E-05,0.000103806,,0.274002513,1.074087742,0.00000326,8.30E-63,2.57E-64
1684,0,6.61E-06,0.000125101,0.000149522,8.91E-05,0.000103533,,0.273687015,1.073054774,0.00000325,7.59E-63,2.57E-64
1685,0,6.59E-06,0.000124778,0.000149144,8.88E-05,0.000103262,,0.273372066,1.072023411,0.00000323,6.93E-63,2.57E-64
1686,0,6.56E-06,0.000124456,0.000148768,8.86E-05,0.000102991,,0.273057667,1.070993651,0.00000322,6.33E-63,2.57E-64
1687,0,6.54E-06,0.000124135,0.000148392,8.84E-05,0.000102721,,0.272743815,1.06996549,0.00000321,5.79E-63,2.57E-64
1688,0,6.52E-06,0.000123815,0.000148018,8.81E-05,0.000102453,,0.27243051,1.068938924,0.00000319,5.29E-63,2.57E-64
1689,0,6.50E-06,0.000123496,0.000147645,8.79E-05,0.000102184,,0.27211775,1.067913951,0.00000318,4.83E-63,2.57E-64
1690,0,6.48E-06,0.000123178,0.000147273,8.77E-05,0.000101917,,0.271805533,1.066890565,0.00000317,4.41E-63,2.57E-64
1691,0,6.46E-06,0.000122862,0.000146902,8.74E-05,0.000101651,,0.271493859,1.065868766,0.00000316,4.03E-63,2.57E-64
1692,0,6.44E-06,0.000122546,0.000146532,8.72E-05,0.000101385,,0.271182727,1.064848548,0.00000314,3.69E-63,2.57E-64
1693,0,6.42E-06,0.000122231,0.000146164,8.70E-05,0.000101121,,0.270872135,1.063829908,0.00000313,3.37E-63,2.57E-64
1694,0,6.40E-06,0.000121917,0.000145797,8.67E-05,0.000100857,,0.270562081,1.062812843,0.00000312,3.08E-63,2.57E-64
1695,0,6.37E-06,0.000121604,0.00014543,8.65E-05,0.000100594,,0.270252565,1.061797351,0.0000031,2.81E-63,2.57E-64
1696,0,6.35E-06,0.000121292,0.000145065,8.63E-05,0.000100332,,0.269943586,1.060783426,0.00000309,2.57E-63,2.57E-64
