Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
2960,0,0.014970326,0.012976271,0.014351984,0.003851959,0.003488967,,0.133022453,0.222765078,0.000678517,1.24E-18,2.95E-56
2961,0,0.014958165,0.012965531,0.014340269,0.003848169,0.003485466,,0.132949433,0.222653872,0.000677559,1.22E-18,2.82E-56
2962,0,0.014946018,0.012954803,0.014328567,0.003844384,0.00348197,,0.132876478,0.22254276,0.000676602,1.20E-18,2.69E-56
2963,0,0.014933886,0.012944087,0.014316878,0.003840604,0.003478479,,0.132803588,0.22243174,0.000675647,1.18E-18,2.57E-56
2964,0,0.014921767,0.012933384,0.014305203,0.003836829,0.003474992,,0.132730763,0.222320813,0.000674693,1.16E-18,2.46E-56
2965,0,0.014909662,0.012922693,0.014293542,0.003833058,0.00347151,,0.132658001,0.222209979,0.000673741,1.15E-18,2.35E-56
2966,0,0.01489757,0.012912015,0.014281894,0.003829293,0.003468032,,0.132585305,0.222099237,0.00067279,1.13E-18,2.24E-56
2967,0,0.014885493,0.012901349,0.014270259,0.003825533,0.003464559,,0.132512672,0.221988588,0.000671842,1.11E-18,2.14E-56
2968,0,0.014873429,0.012890695,0.014258638,0.003821777,0.003461091,,0.132440104,0.221878031,0.000670895,1.10E-18,2.04E-56
2969,0,0.01486138,0.012880054,0.01424703,0.003818027,0.003457628,,0.1323676,0.221767567,0.000669949,1.08E-18,1.95E-56
2970,0,0.014849344,0.012869425,0.014235435,0.003814281,0.003454169,,0.13229516,0.221657194,0.000669005,1.06E-18,1.87E-56
2971,0,0.014837322,0.012858809,0.014223854,0.003810541,0.003450714,,0.132222784,0.221546914,0.000668063,1.05E-18,1.78E-56
2972,0,0.014825313,0.012848205,0.014212286,0.003806805,0.003447265,,0.132150472,0.221436726,0.000667122,1.03E-18,1.70E-56
2973,0,0.014813319,0.012837613,0.014200731,0.003803074,0.003443819,,0.132078224,0.22132663,0.000666183,1.02E-18,1.62E-56
2974,0,0.014801338,0.012827034,0.014189189,0.003799349,0.003440379,,0.13200604,0.221216625,0.000665245,1.00E-18,1.55E-56
2975,0,0.014789371,0.012816466,0.014177661,0.003795628,0.003436943,,0.131933919,0.221106712,0.000664309,9.85E-19,1.48E-56
2976,0,0.014777417,0.012805911,0.014166146,0.003791912,0.003433512,,0.131861862,0.22099689,0.000663375,9.70E-19,1.42E-56
2977,0,0.014765477,0.012795369,0.014154644,0.0037882,0.003430085,,0.131789869,0.22088716,0.000662442,9.55E-19,1.35E-56
2978,0,0.014753551,0.012784838,0.014143155,0.003784494,0.003426663,,0.131717939,0.220777521,0.000661511,9.41E-19,1.29E-56
2979,0,0.014741639,0.01277432,0.01413168,0.003780793,0.003423245,,0.131646072,0.220667974,0.000660582,9.27E-19,1.23E-56
2980,0,0.01472974,0.012763813,0.014120218,0.003777096,0.003419832,,0.131574269,0.220558517,0.000659654,9.13E-19,1.18E-56
2981,0,0.014717854,0.012753319,0.014108768,0.003773404,0.003416423,,0.131502529,0.220449152,0.000658727,8.99E-19,1.12E-56
2982,0,0.014705982,0.012742837,0.014097332,0.003769717,0.003413019,,0.131430852,0.220339877,0.000657802,8.85E-19,1.07E-56
2983,0,0.014694124,0.012732367,0.014085909,0.003766035,0.003409619,,0.131359238,0.220230693,0.000656879,8.72E-19,1.03E-56
2984,0,0.014682279,0.01272191,0.014074499,0.003762358,0.003406224,,0.131287687,0.2201216,0.000655957,8.59E-19,9.80E-57
2985,0,0.014670448,0.012711464,0.014063102,0.003758686,0.003402834,,0.1312162,0.220012597,0.000655037,8.46E-19,9.36E-57
2986,0,0.01465863,0.012701031,0.014051718,0.003755018,0.003399448,,0.131144775,0.219903685,0.000654118,8.33E-19,8.94E-57
2987,0,0.014646826,0.012690609,0.014040347,0.003751355,0.003396066,,0.131073412,0.219794863,0.000653201,8.21E-19,8.54E-57
2988,0,0.014635035,0.012680199,0.01402899,0.003747697,0.003392689,,0.131002113,0.219686132,0.000652286,8.08E-19,8.15E-57
2989,0,0.014623257,0.012669802,0.014017645,0.003744044,0.003389316,,0.130930876,0.21957749,0.000651372,7.96E-19,7.79E-57
2990,0,0.014611493,0.012659416,0.014006313,0.003740395,0.003385948,,0.130859701,0.219468939,0.000650459,7.84E-19,7.44E-57
2991,0,0.014599742,0.012649043,0.013994994,0.003736752,0.003382585,,0.130788589,0.219360478,0.000649549,7.72E-19,7.10E-57
2992,0,0.014588005,0.012638681,0.013983687,0.003733113,0.003379225,,0.13071754,0.219252106,0.000648639,7.61E-19,6.78E-57
2993,0,0.014576281,0.012628332,0.013972394,0.003729479,0.003375871,,0.130646553,0.219143824,0.000647731,7.49E-19,6.48E-57
2994,0,0.01456457,0.012617994,0.013961114,0.003725849,0.00337252,,0.130575628,0.219035632,0.000646825,7.38E-19,6.19E-57
2995,0,0.014552873,0.012607668,0.013949846,0.003722224,0.003369174,,0.130504765,0.218927529,0.00064592,7.27E-19,5.91E-57
2996,0,0.014541189,0.012597354,0.013938592,0.003718604,0.003365833,,0.130433964,0.218819516,0.000645017,7.16E-19,5.64E-57
2997,0,0.014529518,0.012587052,0.01392735,0.003714989,0.003362496,,0.130363226,0.218711592,0.000644116,7.05E-19,5.39E-57
2998,0,0.01451786,0.012576762,0.013916121,0.003711379,0.003359163,,0.130292549,0.218603757,0.000643215,6.94E-19,5.15E-57
2999,0,0.014506216,0.012566484,0.013904904,0.003707773,0.003355835,,0.130221934,0.218496011,0.000642317,6.84E-19,4.92E-57
3000,0,0.014494585,0.012556217,0.013893701,0.003704172,0.003352511,,0.130151381,0.218388354,0.00064142,6.74E-19,4.69E-57
3001,0,0.014482966,0.012545962,0.01388251,0.003700575,0.003349192,,0.13008089,0.218280787,0.000640524,6.63E-19,4.48E-57
3002,0,0.014471362,0.012535719,0.013871332,0.003696983,0.003345877,,0.13001046,0.218173308,0.00063963,6.53E-19,4.28E-57
3003,0,0.01445977,0.012525488,0.013860167,0.003693396,0.003342566,,0.129940092,0.218065917,0.000638737,6.44E-19,4.09E-57
3004,0,0.014448191,0.012515269,0.013849014,0.003689814,0.00333926,,0.129869785,0.217958616,0.000637846,6.34E-19,3.91E-57
